epoch;accuracy;iou_coef;loss;val_accuracy;val_iou_coef;val_loss
49;0.9235743;0.70829225;0.07607981090744337;0.8756274;0.5984982;0.16372044694920382
50;0.9260125;0.71558857;0.0733749334803886;0.8769806;0.61114234;0.2073647783448299
51;0.9293708;0.7256845;0.06996706089832716;0.8808294;0.6153621;0.20472348028173049
52;0.92439574;0.7105662;0.07546259948155946;0.8793925;0.6136008;0.19034576726456484
53;0.92709404;0.7167613;0.07325484547764063;0.8794006;0.6092311;0.2365398387424648
54;0.92942655;0.72836006;0.0694736562565797;0.88170624;0.6186945;0.20521068510909876
55;0.930641;0.72958213;0.06894281391675273;0.8733757;0.6164717;0.19707532413303852
56;0.9316386;0.7342287;0.06752121680312687;0.87167966;0.60310435;0.1911928467452526
57;0.9311712;0.7308498;0.0682683492389818;0.8785955;0.60395473;0.22167745471621553
58;0.9339951;0.73943967;0.0647777996957302;0.88362986;0.62462145;0.24209445907423893
59;0.9334034;0.73888314;0.06577813572560748;0.8794998;0.61604434;0.22472082249199352
60;0.9383716;0.75338566;0.06120387269183993;0.8804456;0.62552327;0.22629313133656978
61;0.93626803;0.7476109;0.06292640182914006;0.88012797;0.61593574;0.2150964330881834
62;0.9252111;0.7145332;0.07449375281317366;0.87728935;0.58399636;0.2357858828579386
63;0.93163884;0.7322589;0.06838663761607475;0.87016577;0.59876513;0.182373452372849
64;0.9359556;0.744851;0.06323045157930918;0.88098603;0.62820226;0.2315126646310091
65;0.9419218;0.7663114;0.05727783368072576;0.8844373;0.6236303;0.22093010696892937
66;0.940391;0.761931;0.05844646009306113;0.8836057;0.622815;0.23443981778497497
67;0.94300455;0.76891613;0.056382479642828304;0.88150585;0.6247008;0.2452224959464123
68;0.94033897;0.7631396;0.058815964228577086;0.874057;0.5908251;0.17709859817599258
69;0.9394778;0.7576239;0.05986574787853493;0.8822268;0.6258625;0.2463462358340621
70;0.94307244;0.7681258;0.056638555052793686;0.88169533;0.61925286;0.24535782566914957
71;0.94350094;0.7703149;0.05591919210015072;0.8798284;0.6269264;0.24781388249248265
72;0.94599795;0.77873415;0.05308755190215177;0.8816681;0.62412953;0.23590132283667722
73;0.9445508;0.7735162;0.05503074657171965;0.87761635;0.626181;0.23583261038487155
74;0.9440872;0.7731707;0.05524287089291546;0.8801384;0.62236;0.2493750457962354
75;0.9423563;0.76636326;0.05712371389898989;0.8798091;0.6178237;0.24721197585264842
76;0.9463021;0.7806082;0.0528856652116196;0.8812439;0.62553155;0.24154320893188316
77;0.9491376;0.78823394;0.05061449708624018;0.880439;0.6275292;0.25587127295633155
78;0.9464954;0.78065544;0.05303911573977934;0.8674174;0.6156668;0.21839245387042563
79;0.9419935;0.7640261;0.058143903190890946;0.8724795;0.6200816;0.22969926145548622
80;0.943435;0.7705508;0.05605130007283555;0.88037133;0.61901057;0.2321696414301793
81;0.9471879;0.7818091;0.052494509507798486;0.8822421;0.63071877;0.26433031968772414
82;0.9500528;0.7934894;0.049360334459278316;0.8815;0.62912667;0.2625356233368317
83;0.9522075;0.7987213;0.047329920452709;0.8813474;0.6342737;0.2975113778064648
84;0.95175064;0.7989657;0.047535628861644204;0.881338;0.62810254;0.27950888440633814
85;0.95168793;0.79970473;0.04715431030943162;0.87816083;0.6286144;0.2564838131268819
86;0.9533195;0.8045507;0.04590754099190235;0.8831914;0.6321756;0.2691248088764648
87;0.9523027;0.7999607;0.04708876349549326;0.8825676;0.6330548;0.2774721295262376
88;0.9530564;0.80496824;0.046132963921667804;0.88221514;0.62000823;0.266227558751901
89;0.9530698;0.8032136;0.04612357403255171;0.88149315;0.6412923;0.3053511771994332
90;0.95447;0.8076499;0.04517019112697906;0.8817896;0.6341585;0.2848018171886603
91;0.95327896;0.8040177;0.04614671710878611;0.8826782;0.6357219;0.2856519740074873
92;0.95440185;0.8078292;0.045075230460820924;0.8843989;0.62461334;0.2964353342851003
93;0.9237432;0.71401495;0.07809292113201485;0.87608236;0.588051;0.1924910405650735
94;0.92126024;0.69810104;0.08606754480343726;0.8673777;0.6112736;0.19999233360091845
95;0.9484085;0.7831395;0.05209401794191864;0.88156253;0.6278144;0.259480122787257
96;0.9543782;0.80524945;0.04569502660694222;0.88201267;0.6353008;0.27120462531844775
97;0.955771;0.8101841;0.04414988714270294;0.88165104;0.63501877;0.29601908745244143
98;0.9559105;0.81132084;0.04402235579263005;0.8824328;0.63280934;0.2883722915003697
99;0.95700616;0.81587315;0.0425847618168013;0.8835004;0.6406238;0.28951932151491444
0;0.8956379;0.6099131;0.11731117171131902;0.8815226;0.60528404;0.1758312052115798
1;0.9072726;0.6529336;0.09801691640168428;0.8823662;0.60051095;0.15650293870518606
2;0.917344;0.673316;0.08852095819181865;0.87203294;0.5978808;0.1618692111534377
3;0.9192215;0.6775435;0.08787077276243103;0.8850535;0.5828756;0.16753505980595945
4;0.919907;0.6862958;0.08488386642808715;0.8788277;0.5881237;0.1749493012825648
5;0.9267887;0.70634425;0.07700968882482913;0.8819026;0.61308306;0.18390481894214947
6;0.9303609;0.72114843;0.07180254090991285;0.88100106;0.6137803;0.17891500623275836
7;0.93309844;0.72765875;0.0686586372140381;0.88155466;0.6163569;0.1880242247444888
8;0.9345366;0.73514915;0.06683747944318585;0.8852936;0.62628335;0.2232481097181638
9;0.937026;0.7413969;0.06450344853931003;0.88203937;0.6275652;0.23419733758394917
10;0.9366118;0.7429063;0.06427379729640152;0.88288933;0.6311466;0.212619718691955
11;0.92688876;0.71222794;0.07466766976027026;0.8772491;0.61651266;0.18959115901961923
